feedback,category
"Fantastic user experience, please resolve this especially on Android devices.",Compliment
"Add WhatsApp login support, please resolve this and it happens every day.",Feature Request
Add cloud backup feature for improved experience.,Feature Request
"Customer support was helpful, please resolve this which is very frustrating.",Compliment
The app works perfectly. Because it affects daily usage.,Compliment
Add cloud backup feature. Because it affects daily usage.,Feature Request
Add WhatsApp login support. For better usability.,Feature Request
"I love the UI design, please resolve this in the next update.",Compliment
OTP is not received on time which is very frustrating.,Complaint
This app saves a lot of time and it should be fixed especially on Android devices.,Compliment
"Please add AI chatbot assistance, please resolve this as soon as possible.",Feature Request
Need offline access support and it should be fixed for better usability.,Feature Request
Great improvement after the update which is very frustrating.,Compliment
I really enjoy using this app which is very frustrating.,Compliment
Video playback keeps buffering. For better usability.,Complaint
Need personalized recommendations for improved experience.,Feature Request
I noticed that face authentication is not working for better usability.,Complaint
The design looks professional. During peak usage time.,Compliment
The app works perfectly for improved experience.,Compliment
The app works perfectly and it happens every day.,Compliment
I noticed that the app freezes frequently in the next update.,Complaint
Add payment history section which is very frustrating.,Feature Request
"Add payment history section, please resolve this for improved experience.",Feature Request
"Face authentication is not working, please resolve this for better usability.",Complaint
Add WhatsApp login support. Which is very frustrating.,Feature Request
Add payment history section and it should be fixed in the next update.,Feature Request
"The app crashes when I open it, please resolve this which is very frustrating.",Complaint
I noticed that fast and responsive interface during peak usage time.,Compliment
Payment gateway failed again. Especially on android devices.,Complaint
I love the UI design during peak usage time.,Compliment
Very smooth experience and it should be fixed and it happens every day.,Compliment
"Need calendar integration, please resolve this for all users.",Feature Request
I noticed that payment gateway failed again and it happens every day.,Complaint
"Notifications are delayed, please resolve this for improved experience.",Complaint
I noticed that face authentication is not working for better usability.,Complaint
I really enjoy using this app and it should be fixed which is very frustrating.,Compliment
Customer support was helpful. For all users.,Compliment
The app works perfectly. Which is very frustrating.,Compliment
"I love the UI design, please resolve this which is very frustrating.",Compliment
Excellent performance overall and it should be fixed for all users.,Compliment
Add WhatsApp login support. For improved experience.,Feature Request
Notifications are delayed and it should be fixed especially on Android devices.,Complaint
The app freezes frequently and it should be fixed in the next update.,Complaint
I noticed that login page is not working properly in the next update.,Complaint
Face authentication is not working in the next update.,Complaint
"Very smooth experience, please resolve this during peak usage time.",Compliment
The design looks professional especially on Android devices.,Compliment
I cannot upload my documents. Especially on android devices.,Complaint
"Please include voice search, please resolve this which is very frustrating.",Feature Request
I noticed that add export to pdf option during peak usage time.,Feature Request
"The app works perfectly, please resolve this for improved experience.",Compliment
Need multilingual support. In the next update.,Feature Request
I noticed that great improvement after the update as soon as possible.,Compliment
Excellent performance overall and it should be fixed because it affects daily usage.,Compliment
I noticed that need calendar integration for improved experience.,Feature Request
I cannot upload my documents and it should be fixed during peak usage time.,Complaint
Search functionality is broken. For better usability.,Complaint
I noticed that i cannot upload my documents in the next update.,Complaint
Customer support was helpful. In the next update.,Compliment
Need offline access support and it should be fixed during peak usage time.,Feature Request
OTP is not received on time and it should be fixed for improved experience.,Complaint
Please add AI chatbot assistance and it should be fixed for improved experience.,Feature Request
Face authentication is not working during peak usage time.,Complaint
The application is too slow and it should be fixed for improved experience.,Complaint
I noticed that add payment history section especially on Android devices.,Feature Request
Excellent performance overall and it should be fixed and it happens every day.,Compliment
The application is too slow and it should be fixed for all users.,Complaint
Please add AI chatbot assistance for improved experience.,Feature Request
I noticed that the application is amazing for improved experience.,Compliment
Video playback keeps buffering during peak usage time.,Complaint
The latest update introduced bugs. For all users.,Complaint
Video playback keeps buffering. As soon as possible.,Complaint
Notifications are delayed. During peak usage time.,Complaint
The application is too slow and it should be fixed because it affects daily usage.,Complaint
Payment gateway failed again as soon as possible.,Complaint
I love the UI design. As soon as possible.,Compliment
Video playback keeps buffering and it should be fixed as soon as possible.,Complaint
I noticed that need calendar integration for better usability.,Feature Request
The features are very useful for all users.,Compliment
I noticed that add payment history section especially on Android devices.,Feature Request
I noticed that need personalized recommendations especially on Android devices.,Feature Request
I really enjoy using this app in the next update.,Compliment
"Please add file sharing feature, please resolve this especially on Android devices.",Feature Request
The features are very useful and it happens every day.,Compliment
I noticed that i cannot upload my documents because it affects daily usage.,Complaint
"Please add file sharing feature, please resolve this for all users.",Feature Request
Please add file sharing feature. And it happens every day.,Feature Request
This app saves a lot of time. During peak usage time.,Compliment
Search functionality is broken. For better usability.,Complaint
Add fingerprint authentication and it should be fixed for better usability.,Feature Request
I noticed that excellent performance overall which is very frustrating.,Compliment
The application is too slow for improved experience.,Complaint
"The features are very useful, please resolve this because it affects daily usage.",Compliment
The application is amazing and it should be fixed and it happens every day.,Compliment
Add export to PDF option and it should be fixed for all users.,Feature Request
The latest update introduced bugs and it should be fixed during peak usage time.,Complaint
Great improvement after the update especially on Android devices.,Compliment
Need calendar integration during peak usage time.,Feature Request
This app saves a lot of time and it should be fixed for all users.,Compliment
I cannot upload my documents. For all users.,Complaint
I noticed that navigation is very simple because it affects daily usage.,Compliment
Please add file sharing feature in the next update.,Feature Request
"Customer support was helpful, please resolve this in the next update.",Compliment
I noticed that fast and responsive interface for improved experience.,Compliment
The app logs me out automatically in the next update.,Complaint
"Everything works seamlessly, please resolve this especially on Android devices.",Compliment
I really enjoy using this app. Especially on android devices.,Compliment
I noticed that payment gateway failed again as soon as possible.,Complaint
Navigation is very simple. For improved experience.,Compliment
Need calendar integration for better usability.,Feature Request
The latest update introduced bugs as soon as possible.,Complaint
I noticed that the app works perfectly and it happens every day.,Compliment
The latest update introduced bugs and it should be fixed especially on Android devices.,Complaint
Please add AI chatbot assistance and it happens every day.,Feature Request
OTP is not received on time and it should be fixed because it affects daily usage.,Complaint
I noticed that fast and responsive interface as soon as possible.,Compliment
The design looks professional especially on Android devices.,Compliment
Need custom notification settings and it should be fixed during peak usage time.,Feature Request
"The app logs me out automatically, please resolve this for improved experience.",Complaint
Add WhatsApp login support and it should be fixed during peak usage time.,Feature Request
The design looks professional and it should be fixed in the next update.,Compliment
Fantastic user experience and it should be fixed as soon as possible.,Compliment
I noticed that the app works perfectly because it affects daily usage.,Compliment
Need offline access support. For all users.,Feature Request
I noticed that please add dark mode because it affects daily usage.,Feature Request
"I love the UI design, please resolve this during peak usage time.",Compliment
Customer support never replies and it should be fixed for all users.,Complaint
"I cannot upload my documents, please resolve this during peak usage time.",Complaint
I love the UI design and it should be fixed for better usability.,Compliment
I love the UI design during peak usage time.,Compliment
"The app freezes frequently, please resolve this which is very frustrating.",Complaint
Face authentication is not working. Because it affects daily usage.,Complaint
"The app logs me out automatically, please resolve this for improved experience.",Complaint
"The app logs me out automatically, please resolve this for better usability.",Complaint
"Add payment history section, please resolve this which is very frustrating.",Feature Request
"Excellent performance overall, please resolve this which is very frustrating.",Compliment
Fast and responsive interface. During peak usage time.,Compliment
I noticed that everything works seamlessly during peak usage time.,Compliment
Great improvement after the update and it should be fixed because it affects daily usage.,Compliment
I noticed that the latest update introduced bugs for all users.,Complaint
Very smooth experience. Especially on android devices.,Compliment
"OTP is not received on time, please resolve this for better usability.",Complaint
The application is amazing and it should be fixed for all users.,Compliment
"Please provide chat support, please resolve this for all users.",Feature Request
Search functionality is broken and it should be fixed which is very frustrating.,Complaint
Add cloud backup feature. And it happens every day.,Feature Request
Need multilingual support. In the next update.,Feature Request
I love the UI design for improved experience.,Compliment
Fast and responsive interface. For improved experience.,Compliment
Please add AI chatbot assistance because it affects daily usage.,Feature Request
Add payment history section. During peak usage time.,Feature Request
I cannot upload my documents and it should be fixed during peak usage time.,Complaint
Need personalized recommendations and it should be fixed in the next update.,Feature Request
Add cloud backup feature. And it happens every day.,Feature Request
Navigation is very simple which is very frustrating.,Compliment
Add WhatsApp login support. Because it affects daily usage.,Feature Request
I noticed that add export to pdf option for better usability.,Feature Request
The design looks professional. Especially on android devices.,Compliment
The application is too slow as soon as possible.,Complaint
OTP is not received on time. For all users.,Complaint
Add export to PDF option in the next update.,Feature Request
"Navigation is very simple, please resolve this for all users.",Compliment
I noticed that great improvement after the update for all users.,Compliment
"Excellent performance overall, please resolve this for all users.",Compliment
Please include voice search for all users.,Feature Request
"Need multilingual support, please resolve this which is very frustrating.",Feature Request
"Please include voice search, please resolve this because it affects daily usage.",Feature Request
I noticed that the application is too slow as soon as possible.,Complaint
Search functionality is broken and it should be fixed for improved experience.,Complaint
"Need multilingual support, please resolve this because it affects daily usage.",Feature Request
"Navigation is very simple, please resolve this for better usability.",Compliment
Profile update is failing and it happens every day.,Complaint
Need calendar integration and it should be fixed as soon as possible.,Feature Request
Notifications are delayed. Which is very frustrating.,Complaint
Face authentication is not working and it should be fixed for improved experience.,Complaint
Add WhatsApp login support and it should be fixed for all users.,Feature Request
Search functionality is broken and it should be fixed because it affects daily usage.,Complaint
I noticed that need calendar integration as soon as possible.,Feature Request
I noticed that add fingerprint authentication for better usability.,Feature Request
Excellent performance overall for better usability.,Compliment
Very smooth experience for all users.,Compliment
I noticed that the app crashes when i open it for improved experience.,Complaint
I noticed that profile update is failing in the next update.,Complaint
Fast and responsive interface because it affects daily usage.,Compliment
Everything works seamlessly and it should be fixed which is very frustrating.,Compliment
I noticed that add export to pdf option which is very frustrating.,Feature Request
Face authentication is not working during peak usage time.,Complaint
Video playback keeps buffering for improved experience.,Complaint
Please add dark mode and it should be fixed in the next update.,Feature Request
Please provide chat support. During peak usage time.,Feature Request
I noticed that customer support never replies for better usability.,Complaint
Need calendar integration. During peak usage time.,Feature Request
"Need offline access support, please resolve this as soon as possible.",Feature Request
I noticed that very smooth experience and it happens every day.,Compliment
"Customer support was helpful, please resolve this in the next update.",Compliment
"The app works perfectly, please resolve this which is very frustrating.",Compliment
Face authentication is not working and it should be fixed as soon as possible.,Complaint
I noticed that profile update is failing because it affects daily usage.,Complaint
Add payment history section during peak usage time.,Feature Request
"Need offline access support, please resolve this for better usability.",Feature Request
"The application is too slow, please resolve this during peak usage time.",Complaint
"Face authentication is not working, please resolve this because it affects daily usage.",Complaint
Add WhatsApp login support in the next update.,Feature Request
I noticed that the application is too slow during peak usage time.,Complaint
Profile update is failing and it should be fixed in the next update.,Complaint
I really enjoy using this app. As soon as possible.,Compliment
I really enjoy using this app especially on Android devices.,Compliment
The app logs me out automatically in the next update.,Complaint
Please add AI chatbot assistance for better usability.,Feature Request
"Face authentication is not working, please resolve this which is very frustrating.",Complaint
Add cloud backup feature which is very frustrating.,Feature Request
Please add file sharing feature especially on Android devices.,Feature Request
Fantastic user experience and it should be fixed because it affects daily usage.,Compliment
Need multilingual support and it should be fixed for improved experience.,Feature Request
Add fingerprint authentication and it should be fixed especially on Android devices.,Feature Request
"This app saves a lot of time, please resolve this for all users.",Compliment
"Login page is not working properly, please resolve this especially on Android devices.",Complaint
Customer support was helpful as soon as possible.,Compliment
The features are very useful. As soon as possible.,Compliment
I noticed that login page is not working properly for all users.,Complaint
Login page is not working properly in the next update.,Complaint
The application is too slow during peak usage time.,Complaint
Customer support never replies and it should be fixed as soon as possible.,Complaint
The application is too slow. In the next update.,Complaint
Please provide chat support for all users.,Feature Request
I noticed that navigation is very simple for all users.,Compliment
Please add dark mode because it affects daily usage.,Feature Request
Profile update is failing in the next update.,Complaint
Login page is not working properly. For all users.,Complaint
Excellent performance overall. Which is very frustrating.,Compliment
"Notifications are delayed, please resolve this during peak usage time.",Complaint
"Great improvement after the update, please resolve this for better usability.",Compliment
"The app crashes when I open it, please resolve this during peak usage time.",Complaint
The design looks professional for improved experience.,Compliment
I noticed that navigation is very simple during peak usage time.,Compliment
"Face authentication is not working, please resolve this in the next update.",Complaint
"I really enjoy using this app, please resolve this and it happens every day.",Compliment
Add cloud backup feature. And it happens every day.,Feature Request
Excellent performance overall. Especially on android devices.,Compliment
I noticed that the application is amazing for all users.,Compliment
I noticed that i love the ui design in the next update.,Compliment
I noticed that i really enjoy using this app and it happens every day.,Compliment
Add payment history section and it should be fixed for improved experience.,Feature Request
Customer support was helpful. And it happens every day.,Compliment
Search functionality is broken. Especially on android devices.,Complaint
I cannot upload my documents especially on Android devices.,Complaint
Profile update is failing because it affects daily usage.,Complaint
I love the UI design and it should be fixed as soon as possible.,Compliment
I noticed that the application is amazing for improved experience.,Compliment
I noticed that add payment history section for better usability.,Feature Request
I noticed that please add file sharing feature for improved experience.,Feature Request
Add payment history section. In the next update.,Feature Request
Notifications are delayed. For better usability.,Complaint
The latest update introduced bugs. In the next update.,Complaint
"This app saves a lot of time, please resolve this for all users.",Compliment
OTP is not received on time as soon as possible.,Complaint
Please include voice search. In the next update.,Feature Request
I noticed that add whatsapp login support for all users.,Feature Request
The app logs me out automatically for better usability.,Complaint
Add WhatsApp login support which is very frustrating.,Feature Request
I noticed that need personalized recommendations in the next update.,Feature Request
Excellent performance overall which is very frustrating.,Compliment
Notifications are delayed. Which is very frustrating.,Complaint
I really enjoy using this app. For all users.,Compliment
I noticed that very smooth experience during peak usage time.,Compliment
Please include voice search as soon as possible.,Feature Request
I noticed that please add file sharing feature because it affects daily usage.,Feature Request
Please add AI chatbot assistance in the next update.,Feature Request
The application is too slow and it should be fixed as soon as possible.,Complaint
Login page is not working properly. During peak usage time.,Complaint
Profile update is failing. Which is very frustrating.,Complaint
Notifications are delayed which is very frustrating.,Complaint
Search functionality is broken and it should be fixed especially on Android devices.,Complaint
Profile update is failing and it should be fixed for improved experience.,Complaint
I noticed that add whatsapp login support in the next update.,Feature Request
Fantastic user experience in the next update.,Compliment
Payment gateway failed again and it should be fixed for improved experience.,Complaint
"The latest update introduced bugs, please resolve this during peak usage time.",Complaint
Face authentication is not working. Because it affects daily usage.,Complaint
The features are very useful. For improved experience.,Compliment
"Fantastic user experience, please resolve this for improved experience.",Compliment
"Add cloud backup feature, please resolve this which is very frustrating.",Feature Request
"The design looks professional, please resolve this during peak usage time.",Compliment
Add export to PDF option and it should be fixed for better usability.,Feature Request
I noticed that add cloud backup feature during peak usage time.,Feature Request
"Need custom notification settings, please resolve this which is very frustrating.",Feature Request
The app crashes when I open it because it affects daily usage.,Complaint
Add payment history section and it should be fixed as soon as possible.,Feature Request
This app saves a lot of time for improved experience.,Compliment
Please add file sharing feature. In the next update.,Feature Request
Please add AI chatbot assistance for improved experience.,Feature Request
I noticed that the application is amazing during peak usage time.,Compliment
"Payment gateway failed again, please resolve this during peak usage time.",Complaint
I noticed that please provide chat support for improved experience.,Feature Request
The latest update introduced bugs and it should be fixed as soon as possible.,Complaint
"Please add AI chatbot assistance, please resolve this for all users.",Feature Request
Video playback keeps buffering. Especially on android devices.,Complaint
Payment gateway failed again. And it happens every day.,Complaint
I cannot upload my documents. Because it affects daily usage.,Complaint
Please add dark mode and it should be fixed as soon as possible.,Feature Request
Need offline access support during peak usage time.,Feature Request
Please include voice search and it should be fixed because it affects daily usage.,Feature Request
Add export to PDF option and it should be fixed and it happens every day.,Feature Request
Very smooth experience. Especially on android devices.,Compliment
I noticed that the app crashes when i open it for all users.,Complaint
"Please provide chat support, please resolve this as soon as possible.",Feature Request
Please add file sharing feature and it should be fixed as soon as possible.,Feature Request
Please add AI chatbot assistance for improved experience.,Feature Request
"Fantastic user experience, please resolve this because it affects daily usage.",Compliment
I cannot upload my documents. Because it affects daily usage.,Complaint
"The latest update introduced bugs, please resolve this for better usability.",Complaint
The app freezes frequently and it should be fixed for better usability.,Complaint
The application is amazing and it should be fixed as soon as possible.,Compliment
The latest update introduced bugs and it should be fixed for all users.,Complaint
Profile update is failing and it should be fixed as soon as possible.,Complaint
"Navigation is very simple, please resolve this for improved experience.",Compliment
"Need offline access support, please resolve this for improved experience.",Feature Request
I noticed that navigation is very simple during peak usage time.,Compliment
OTP is not received on time especially on Android devices.,Complaint
I noticed that please add file sharing feature for improved experience.,Feature Request
Add payment history section for better usability.,Feature Request
I cannot upload my documents for better usability.,Complaint
Payment gateway failed again and it should be fixed during peak usage time.,Complaint
This app saves a lot of time and it should be fixed during peak usage time.,Compliment
"Add export to PDF option, please resolve this in the next update.",Feature Request
Customer support never replies. Because it affects daily usage.,Complaint
Search functionality is broken and it should be fixed for better usability.,Complaint
The app logs me out automatically. And it happens every day.,Complaint
Need multilingual support and it should be fixed as soon as possible.,Feature Request
Everything works seamlessly and it happens every day.,Compliment
I noticed that i love the ui design in the next update.,Compliment
Very smooth experience. Especially on android devices.,Compliment
Please add file sharing feature especially on Android devices.,Feature Request
I noticed that profile update is failing for all users.,Complaint
The app logs me out automatically. In the next update.,Complaint
I noticed that otp is not received on time for improved experience.,Complaint
Everything works seamlessly and it should be fixed which is very frustrating.,Compliment
Please add file sharing feature. For improved experience.,Feature Request
Profile update is failing because it affects daily usage.,Complaint
Profile update is failing for all users.,Complaint
Add cloud backup feature as soon as possible.,Feature Request
Please provide chat support. For improved experience.,Feature Request
"Add payment history section, please resolve this because it affects daily usage.",Feature Request
Login page is not working properly. And it happens every day.,Complaint
Add WhatsApp login support and it should be fixed which is very frustrating.,Feature Request
Notifications are delayed for improved experience.,Complaint
Add payment history section and it should be fixed for all users.,Feature Request
The latest update introduced bugs and it should be fixed in the next update.,Complaint
Need personalized recommendations and it should be fixed and it happens every day.,Feature Request
The application is amazing and it should be fixed because it affects daily usage.,Compliment
"I cannot upload my documents, please resolve this which is very frustrating.",Complaint
I noticed that need offline access support for improved experience.,Feature Request
Customer support never replies and it should be fixed in the next update.,Complaint
I noticed that add fingerprint authentication especially on Android devices.,Feature Request
I noticed that the application is amazing because it affects daily usage.,Compliment
Search functionality is broken for all users.,Complaint
The app crashes when I open it for better usability.,Complaint
I noticed that login page is not working properly for all users.,Complaint
Need offline access support and it should be fixed in the next update.,Feature Request
"This app saves a lot of time, please resolve this especially on Android devices.",Compliment
I noticed that the app crashes when i open it for improved experience.,Complaint
Please provide chat support and it should be fixed and it happens every day.,Feature Request
Add export to PDF option. During peak usage time.,Feature Request
Notifications are delayed in the next update.,Complaint
Please include voice search. As soon as possible.,Feature Request
I noticed that the design looks professional especially on Android devices.,Compliment
Customer support was helpful. Which is very frustrating.,Compliment
Face authentication is not working as soon as possible.,Complaint
"Customer support never replies, please resolve this for all users.",Complaint
I noticed that the design looks professional which is very frustrating.,Compliment
The latest update introduced bugs which is very frustrating.,Complaint
Video playback keeps buffering. For all users.,Complaint
Please add file sharing feature which is very frustrating.,Feature Request
"Customer support was helpful, please resolve this as soon as possible.",Compliment
I noticed that excellent performance overall as soon as possible.,Compliment
I noticed that navigation is very simple especially on Android devices.,Compliment
"I really enjoy using this app, please resolve this and it happens every day.",Compliment
Please add file sharing feature and it should be fixed during peak usage time.,Feature Request
I noticed that the application is too slow during peak usage time.,Complaint
Need offline access support and it should be fixed because it affects daily usage.,Feature Request
Fantastic user experience and it should be fixed because it affects daily usage.,Compliment
I noticed that great improvement after the update for improved experience.,Compliment
"Great improvement after the update, please resolve this as soon as possible.",Compliment
Need multilingual support and it should be fixed because it affects daily usage.,Feature Request
"Search functionality is broken, please resolve this in the next update.",Complaint
This app saves a lot of time and it should be fixed during peak usage time.,Compliment
"Fast and responsive interface, please resolve this and it happens every day.",Compliment
I noticed that add payment history section for improved experience.,Feature Request
Customer support was helpful and it should be fixed for improved experience.,Compliment
The application is amazing. During peak usage time.,Compliment
I noticed that very smooth experience which is very frustrating.,Compliment
Add fingerprint authentication for improved experience.,Feature Request
I noticed that everything works seamlessly especially on Android devices.,Compliment
I noticed that navigation is very simple which is very frustrating.,Compliment
I noticed that need custom notification settings because it affects daily usage.,Feature Request
I noticed that need personalized recommendations for better usability.,Feature Request
I noticed that the app logs me out automatically for better usability.,Complaint
I noticed that the latest update introduced bugs during peak usage time.,Complaint
"I love the UI design, please resolve this especially on Android devices.",Compliment
I noticed that please include voice search which is very frustrating.,Feature Request
I noticed that face authentication is not working during peak usage time.,Complaint
Very smooth experience. For all users.,Compliment
Search functionality is broken and it should be fixed for improved experience.,Complaint
Add export to PDF option and it happens every day.,Feature Request
Customer support was helpful. For all users.,Compliment
Notifications are delayed. And it happens every day.,Complaint
"Need multilingual support, please resolve this which is very frustrating.",Feature Request
I love the UI design. Which is very frustrating.,Compliment
Add payment history section. And it happens every day.,Feature Request
Please provide chat support for improved experience.,Feature Request
"The app logs me out automatically, please resolve this as soon as possible.",Complaint
Fantastic user experience in the next update.,Compliment
I noticed that customer support was helpful because it affects daily usage.,Compliment
OTP is not received on time. For improved experience.,Complaint
Add WhatsApp login support. Because it affects daily usage.,Feature Request
I noticed that fantastic user experience because it affects daily usage.,Compliment
Video playback keeps buffering and it should be fixed during peak usage time.,Complaint
Add WhatsApp login support and it should be fixed for improved experience.,Feature Request
I love the UI design. As soon as possible.,Compliment
The app logs me out automatically and it should be fixed in the next update.,Complaint
Need calendar integration and it should be fixed which is very frustrating.,Feature Request
The features are very useful during peak usage time.,Compliment
OTP is not received on time for improved experience.,Complaint
The design looks professional as soon as possible.,Compliment
Payment gateway failed again. For better usability.,Complaint
I noticed that i really enjoy using this app especially on Android devices.,Compliment
Add cloud backup feature and it should be fixed which is very frustrating.,Feature Request
I noticed that customer support was helpful and it happens every day.,Compliment
I cannot upload my documents. For improved experience.,Complaint
"Profile update is failing, please resolve this because it affects daily usage.",Complaint
I noticed that the latest update introduced bugs during peak usage time.,Complaint
I noticed that i love the ui design which is very frustrating.,Compliment
Need multilingual support in the next update.,Feature Request
The application is too slow in the next update.,Complaint
Customer support was helpful as soon as possible.,Compliment
"Please provide chat support, please resolve this for better usability.",Feature Request
Need custom notification settings and it should be fixed and it happens every day.,Feature Request
I noticed that payment gateway failed again in the next update.,Complaint
Customer support never replies. And it happens every day.,Complaint
Customer support was helpful and it should be fixed for all users.,Compliment
I noticed that please include voice search for better usability.,Feature Request
Add payment history section during peak usage time.,Feature Request
Video playback keeps buffering. And it happens every day.,Complaint
Please include voice search for better usability.,Feature Request
I noticed that please add file sharing feature and it happens every day.,Feature Request
"Need custom notification settings, please resolve this because it affects daily usage.",Feature Request
Please provide chat support for all users.,Feature Request
"Need custom notification settings, please resolve this during peak usage time.",Feature Request
I noticed that face authentication is not working during peak usage time.,Complaint
Excellent performance overall and it should be fixed in the next update.,Compliment
"Please add file sharing feature, please resolve this and it happens every day.",Feature Request
OTP is not received on time. In the next update.,Complaint
I noticed that need multilingual support for improved experience.,Feature Request
The features are very useful and it should be fixed for all users.,Compliment
"I cannot upload my documents, please resolve this and it happens every day.",Complaint
"The app works perfectly, please resolve this for all users.",Compliment
Great improvement after the update. In the next update.,Compliment
Profile update is failing and it should be fixed for improved experience.,Complaint
This app saves a lot of time because it affects daily usage.,Compliment
I noticed that face authentication is not working which is very frustrating.,Complaint
Please add dark mode. Which is very frustrating.,Feature Request
"Fantastic user experience, please resolve this for better usability.",Compliment
I noticed that profile update is failing because it affects daily usage.,Complaint
The app crashes when I open it and it should be fixed which is very frustrating.,Complaint
"Video playback keeps buffering, please resolve this for all users.",Complaint
I noticed that customer support never replies and it happens every day.,Complaint
Add fingerprint authentication for better usability.,Feature Request
Please add AI chatbot assistance and it should be fixed because it affects daily usage.,Feature Request
Customer support was helpful especially on Android devices.,Compliment
Everything works seamlessly. Especially on android devices.,Compliment
The latest update introduced bugs. Which is very frustrating.,Complaint
Please provide chat support and it should be fixed for better usability.,Feature Request
The app logs me out automatically. For better usability.,Complaint
Fast and responsive interface. During peak usage time.,Compliment
Fantastic user experience and it should be fixed for better usability.,Compliment
"Everything works seamlessly, please resolve this and it happens every day.",Compliment
I noticed that need custom notification settings for better usability.,Feature Request
Profile update is failing and it should be fixed especially on Android devices.,Complaint
Please provide chat support for improved experience.,Feature Request
"Notifications are delayed, please resolve this as soon as possible.",Complaint
I cannot upload my documents for better usability.,Complaint
Need offline access support and it should be fixed especially on Android devices.,Feature Request
Add cloud backup feature. In the next update.,Feature Request
Please add AI chatbot assistance. For improved experience.,Feature Request
"Need calendar integration, please resolve this especially on Android devices.",Feature Request
The application is amazing and it should be fixed especially on Android devices.,Compliment
I noticed that everything works seamlessly during peak usage time.,Compliment
The application is too slow for all users.,Complaint
The app crashes when I open it for better usability.,Complaint
"The design looks professional, please resolve this during peak usage time.",Compliment
Please include voice search and it should be fixed which is very frustrating.,Feature Request
The application is too slow and it should be fixed as soon as possible.,Complaint
"The app freezes frequently, please resolve this for all users.",Complaint
"Need custom notification settings, please resolve this especially on Android devices.",Feature Request
Please include voice search and it should be fixed as soon as possible.,Feature Request
I noticed that need personalized recommendations as soon as possible.,Feature Request
I noticed that please add dark mode for all users.,Feature Request
Add WhatsApp login support and it should be fixed as soon as possible.,Feature Request
I noticed that customer support was helpful for all users.,Compliment
Face authentication is not working. For all users.,Complaint
Navigation is very simple in the next update.,Compliment
Navigation is very simple for better usability.,Compliment
"Please add file sharing feature, please resolve this especially on Android devices.",Feature Request
I noticed that everything works seamlessly for better usability.,Compliment
"Face authentication is not working, please resolve this because it affects daily usage.",Complaint
I noticed that fast and responsive interface as soon as possible.,Compliment
Fast and responsive interface. As soon as possible.,Compliment
"Fast and responsive interface, please resolve this as soon as possible.",Compliment
"The app works perfectly, please resolve this in the next update.",Compliment
Please provide chat support especially on Android devices.,Feature Request
"The app logs me out automatically, please resolve this because it affects daily usage.",Complaint
I noticed that navigation is very simple because it affects daily usage.,Compliment
"Need personalized recommendations, please resolve this and it happens every day.",Feature Request
Please include voice search for all users.,Feature Request
Very smooth experience. In the next update.,Compliment
The application is amazing for all users.,Compliment
I noticed that navigation is very simple as soon as possible.,Compliment
The latest update introduced bugs. Which is very frustrating.,Complaint
"Face authentication is not working, please resolve this especially on Android devices.",Complaint
Everything works seamlessly and it should be fixed because it affects daily usage.,Compliment
I noticed that need offline access support during peak usage time.,Feature Request
I noticed that customer support never replies because it affects daily usage.,Complaint
Profile update is failing and it should be fixed for better usability.,Complaint
"Add export to PDF option, please resolve this especially on Android devices.",Feature Request
"Fantastic user experience, please resolve this and it happens every day.",Compliment
The features are very useful and it should be fixed as soon as possible.,Compliment
I noticed that the app works perfectly especially on Android devices.,Compliment
Video playback keeps buffering. Which is very frustrating.,Complaint
I noticed that please provide chat support and it happens every day.,Feature Request
The app crashes when I open it. Which is very frustrating.,Complaint
Please add file sharing feature. For all users.,Feature Request
I noticed that please provide chat support and it happens every day.,Feature Request
Add cloud backup feature and it should be fixed because it affects daily usage.,Feature Request
Face authentication is not working. Which is very frustrating.,Complaint
Customer support was helpful and it should be fixed during peak usage time.,Compliment
Payment gateway failed again for improved experience.,Complaint
Need personalized recommendations in the next update.,Feature Request
"Customer support was helpful, please resolve this and it happens every day.",Compliment
"Profile update is failing, please resolve this as soon as possible.",Complaint
I noticed that everything works seamlessly and it happens every day.,Compliment
"Add payment history section, please resolve this especially on Android devices.",Feature Request
I noticed that need calendar integration for all users.,Feature Request
Notifications are delayed during peak usage time.,Complaint
"Navigation is very simple, please resolve this which is very frustrating.",Compliment
Please include voice search and it should be fixed as soon as possible.,Feature Request
I really enjoy using this app. As soon as possible.,Compliment
I noticed that customer support was helpful for better usability.,Compliment
Navigation is very simple. For better usability.,Compliment
I noticed that the features are very useful because it affects daily usage.,Compliment
Video playback keeps buffering. During peak usage time.,Complaint
The features are very useful. Especially on android devices.,Compliment
Video playback keeps buffering which is very frustrating.,Complaint
The application is too slow and it happens every day.,Complaint
The app logs me out automatically and it should be fixed for all users.,Complaint
Customer support was helpful. In the next update.,Compliment
Add export to PDF option. For improved experience.,Feature Request
I noticed that please include voice search as soon as possible.,Feature Request
"Search functionality is broken, please resolve this because it affects daily usage.",Complaint
"Need custom notification settings, please resolve this which is very frustrating.",Feature Request
Add export to PDF option. For better usability.,Feature Request
Customer support was helpful for all users.,Compliment
I noticed that i love the ui design for better usability.,Compliment
Please add AI chatbot assistance and it should be fixed for improved experience.,Feature Request
Add payment history section. During peak usage time.,Feature Request
Video playback keeps buffering and it should be fixed for better usability.,Complaint
The app works perfectly during peak usage time.,Compliment
The app works perfectly. As soon as possible.,Compliment
